qubits	depth	max_operand	time
11	35	4	0.173546906
11	35	4	0.156001446
11	35	4	0.159858367
11	50	1	0.00281447
11	50	1	0.003942553
11	50	1	0.006631492
11	50	1	0.00672119
11	50	1	0.004507229
11	50	2	0.187629772
11	50	2	0.145368893
11	50	2	0.19434262
11	50	2	0.172456049
11	50	2	0.173655141
11	50	3	0.244246477
11	50	3	0.173919937
11	50	3	0.173005843
11	50	3	0.222554965
11	50	3	0.180304705
11	50	4	0.22628033
11	50	4	0.263158321
11	50	4	0.171019847
11	50	4	0.199527148
11	50	4	0.228842187
12	5	1	0.002818344
12	5	1	0.011316863
12	5	1	0.003600979
12	5	1	0.006669332
12	5	1	0.006932253
12	5	2	0.065667238
12	5	2	0.046818119
12	5	2	0.057868062
12	5	2	0.064201715
12	5	2	0.061555033
12	5	3	0.055761393
12	5	3	0.043995736
12	5	3	0.051769509
12	5	3	0.054528895
12	5	3	0.048927212
12	5	4	0.06719383
12	5	4	0.059527614
12	5	4	0.05891572
12	5	4	0.052557762
12	5	4	0.049992175
12	20	1	0.008871365
12	20	1	0.013154818
12	20	1	0.005112518
12	20	1	0.002823753
12	20	1	0.004088936
12	20	2	0.287765422
12	20	2	0.15661131
12	20	2	0.15801208
12	20	2	0.197001627
12	20	2	0.16246464
12	20	3	0.183120299
12	20	3	0.176328139
12	20	3	0.183147911
12	20	3	0.19436371
12	20	3	0.170973788
12	20	4	0.192830213
12	20	4	0.229232327
12	20	4	0.224104966
12	20	4	0.202965775
12	20	4	0.19109786
12	35	1	0.002674956
12	35	1	0.00312675
12	35	1	0.007951846
12	35	1	0.003338682
12	35	1	0.002742505
12	35	2	0.502762348
12	35	2	0.413127212
12	35	2	0.298708499
12	35	2	0.2808927
12	35	2	0.362755273
12	35	3	0.33906267
12	35	3	0.350003993
12	35	3	0.280124426
12	35	3	0.355178884
12	35	3	0.398787361
12	35	4	0.471206871
12	35	4	0.563364911
12	35	4	0.519192171
12	35	4	0.342297183
12	35	4	0.471561446
12	50	1	0.002815881
12	50	1	0.003422813
12	50	1	0.003051827
12	50	1	0.005782399
12	50	1	0.007581316
12	50	2	0.540779237
12	50	2	0.599609241
12	50	2	0.501097324
12	50	2	0.367643743
12	50	2	0.436084471
12	50	3	0.559133731
12	50	3	0.635884585
12	50	3	0.624352067
12	50	3	0.469223109
